network_size,centrality_measure,base_network,10rem_nodes_mean,10rem_nodes_SD,10rem_edges_mean,10rem_edges_SD,10rempropor_edges_mean,10rempropor_edges_SD,10add_edges_mean,10add_edges_SD,30rem_nodes_mean,30rem_nodes_SD,30rem_edges_mean,30rem_edges_SD,30rempropor_edges_mean,30rempropor_edges_SD,30add_edges_mean,30add_edges_SD
8,degree,Jazz,0.9297996026,0.1063298279,0.9083979397,0.0576707941,0.9247722647,0.05557172456,0.9127312882,0.05445623084,,,0.7432553779,0.1769048142,0.7846745728,0.1427401912,0.7928470703,0.1228368158
16,degree,Jazz,0.9274365498,0.03872390054,0.875756307,0.04554979586,0.8780341423,0.04567553501,0.921059067,0.04867698564,0.7708262464,0.1574508295,0.7516011044,0.08908275266,0.7381987813,0.09255224569,0.8618316568,0.06843329497
32,degree,Jazz,0.8941077128,0.0834442385,0.8909497525,0.03211809524,0.9021092466,0.03197647648,0.9116681107,0.03544416631,0.7687315611,0.1368128429,0.7598767762,0.05968089729,0.763549167,0.05598549086,0.8353144119,0.04907464857
64,degree,Jazz,0.915821303,0.04453965924,0.9144799845,0.01828452106,0.9263228798,0.0179823634,0.9075090624,0.02048173282,0.7840529159,0.07865316977,0.7786986408,0.03571927589,0.7899269646,0.03480382554,0.7982182935,0.03323373443
128,degree,Jazz,0.9383177308,0.01078869197,0.9317970166,0.006614510273,0.9389952381,0.006047021955,0.9203306272,0.007988541777,0.8540559317,0.02125100987,0.8434693798,0.01392381997,0.8438174994,0.01345346711,0.8429330263,0.01447602733
256,degree,Jazz,0.9496490914,0.00681591723,0.9472204995,0.003473920614,0.9541122064,0.003210161141,0.934665525,0.004453759852,0.8843203536,0.01281613058,0.8778473223,0.007462057946,0.8831358749,0.00724444175,0.8709221301,0.008046070921
512,degree,Jazz,0.9557859457,0.004242835229,0.9542720203,0.002053624416,0.9599030923,0.001847002448,0.9436064221,0.002480801173,0.9007928402,0.007658223709,0.8971819055,0.004276097669,0.902179253,0.003906855208,0.8913476419,0.004511390237
1024,degree,Jazz,0.9596146944,0.002906005055,0.9586201029,0.001337528258,0.9643334678,0.001136489084,0.9479243735,0.00158765944,0.9108103159,0.004972899392,0.9085721393,0.002642257806,0.9154935437,0.002395501894,0.9011954017,0.00296106969
2048,degree,Jazz,0.9643911963,0.001975433232,0.96372517,0.0008058189035,0.9693629011,0.0006850842227,0.9527457756,0.001002323031,0.9227706359,0.003190891115,0.9214191879,0.001529002443,0.9291616854,0.001395827402,0.9118392935,0.001740118799
4096,degree,Jazz,0.9672611756,0.001233909789,0.9667431106,0.0004941513901,0.9722210893,0.00042962951,0.9561370983,0.0006593714939,0.9307012685,0.002003301549,0.9298277299,0.0009662679917,0.9377497646,0.0008422236961,0.919703374,0.001104932192
8192,degree,Jazz,0.9696283819,0.0008252055799,0.9693644195,0.0003214217626,0.9744408394,0.0002686248165,0.9591749615,0.0004057364269,0.9372562298,0.001264020018,0.9367284882,0.0006146144597,0.9443455549,0.000540260049,0.9265208904,0.0007631637522
8,eigenvector,Jazz,0.9294980874,0.1042431715,0.8178058565,0.146218654,0.8120847189,0.1629689202,0.9290211763,0.05739631493,0.8190190541,0.2822075875,0.5879772184,0.2491566517,0.6169023955,0.2490467649,0.7938664986,0.1385024983
16,eigenvector,Jazz,0.9046153,0.122931258,0.8132211068,0.1043345615,0.7880819157,0.09928750068,0.8947643664,0.08012601629,0.6942902575,0.3881338063,0.6494298996,0.1662991963,0.5810262397,0.1853837942,0.8281314189,0.08312934044
32,eigenvector,Jazz,0.8136061605,0.1937614156,0.8025988405,0.05992159011,0.7792200988,0.07148600979,0.8934598065,0.05070886717,0.6528778763,0.2542075067,0.6127971024,0.12317148,0.5589008334,0.1496469315,0.7784320541,0.06740271037
64,eigenvector,Jazz,0.8465041706,0.1174886261,0.8342018773,0.03158852728,0.8128017735,0.03518515702,0.9008334481,0.0284951527,0.6688919947,0.1489009908,0.6426792207,0.05183468519,0.5829862925,0.06621486413,0.7848669542,0.04003654916
128,eigenvector,Jazz,0.8915401983,0.03430851099,0.8801941833,0.009390195709,0.8733075787,0.01008806388,0.8979060039,0.008223990268,0.7862537372,0.04344233684,0.7657679645,0.01752222907,0.7421647212,0.02004748553,0.8236274606,0.01439859358
256,eigenvector,Jazz,0.9209377612,0.02233188978,0.9119902424,0.004608320199,0.9046481894,0.004828727402,0.9321977941,0.003888342013,0.8401859284,0.02715224039,0.8235551055,0.00908921766,0.8041803854,0.00982065239,0.8778155637,0.006624445463
