# Directed graph: ./../../../Jazz_kronecker/kronecker_graph_jazz_64.txt 
# Kronecker Graph: seed matrix [0.9284 0.5276;0.5233 0.07591]
# Nodes: 64 Edges: 75
# FromNodeId	ToNodeId
0	3
0	4
0	10
0	11
0	18
0	26
0	33
0	41
0	56
1	6
1	11
1	14
1	18
1	34
1	48
1	56
1	62
2	0
2	6
2	9
3	32
4	6
4	26
4	50
5	2
5	4
6	24
6	28
6	40
7	33
8	0
8	2
8	4
8	19
9	8
10	4
11	48
11	52
12	32
13	6
14	16
16	6
16	8
16	10
16	17
17	6
18	4
19	12
20	32
24	8
25	54
26	37
26	38
27	0
28	6
28	23
30	32
30	48
32	14
34	0
34	11
34	14
35	2
35	20
36	9
37	2
40	4
42	48
44	8
44	17
48	9
48	40
52	1
52	2
61	0
